service,base_prefix,method,route
Master_Suite_API,/master-settings-api/api/v1,GET,/ADT/BedAllocationServiceMappingPageLoad?hospitalId={p}
Master_Suite_API,/master-settings-api/api/v1,GET,/ADT/GetBedAllocationServiceMappingById?lookupId={p}
Master_Suite_API,/master-settings-api/api/v1,GET,/ADT/GetTelephonePulseRate
Master_Suite_API,/master-settings-api/api/v1,GET,/ADT/PageLoadRoomStatusSetting
Master_Suite_API,/master-settings-api/api/v1,GET,/ADT/RoomStatusMappingPageLoad?hospitalId={p}
Master_Suite_API,/master-settings-api/api/v1,POST,/ADT/SaveBedAllocationServiceMapping
Master_Suite_API,/master-settings-api/api/v1,POST,/ADT/SaveRoomStatusSetting
Master_Suite_API,/master-settings-api/api/v1,POST,/ADT/SaveTelephonePulseRate
Master_Suite_API,/master-settings-api/api/v1,POST,/ADT/UpdateRoomStatusMapping
Master_Suite_API,/master-settings-api/api/v1,POST,/BaseRate/GetContractList
Master_Suite_API,/master-settings-api/api/v1,POST,/BaseRate/GetContractListDetails
Master_Suite_API,/master-settings-api/api/v1,POST,/BaseRate/SaveServiceDetails
Master_Suite_API,/master-settings-api/api/v1,POST,/BillFormat/BillFormat/save
Master_Suite_API,/master-settings-api/api/v1,GET,/BillFormat/BillFormatPageload
Master_Suite_API,/master-settings-api/api/v1,GET,/BillFormat/GetBillFormatEdit?formatID={p}
Master_Suite_API,/master-settings-api/api/v1,GET,/BillFormat/GetCategory
Master_Suite_API,/master-settings-api/api/v1,GET,/BillFormat/GetOtParameter
Master_Suite_API,/master-settings-api/api/v1,GET,/BillFormat/GetServicemaster?categoryID={p}
Master_Suite_API,/master-settings-api/api/v1,POST,/ContractPrivilege/GetContractPrivileges
Master_Suite_API,/master-settings-api/api/v1,GET,/ContractPrivilege/GetPageLoadCP?hospitalId={p}
Master_Suite_API,/master-settings-api/api/v1,POST,/ContractPrivilege/GetPlans
Master_Suite_API,/master-settings-api/api/v1,POST,/ContractPrivilege/SaveContractPrivilege
Master_Suite_API,/master-settings-api/api/v1,GET,/Emr/Abbreviations/Approved
Master_Suite_API,/master-settings-api/api/v1,GET,/Emr/Abbreviations/Restricted
Master_Suite_API,/master-settings-api/api/v1,GET,/Emr/AllDiagnosisNotify
Master_Suite_API,/master-settings-api/api/v1,GET,/Emr/AllEmrBundle
Master_Suite_API,/master-settings-api/api/v1,GET,/Emr/AllEmrDept
Master_Suite_API,/master-settings-api/api/v1,GET,/Emr/AllEmrIcd
Master_Suite_API,/master-settings-api/api/v1,GET,/Emr/AllEmrService
Master_Suite_API,/master-settings-api/api/v1,GET,/Emr/BrowseFiles
Master_Suite_API,/master-settings-api/api/v1,POST,/Emr/ByFilter/Child
Master_Suite_API,/master-settings-api/api/v1,POST,/Emr/ByFilter/Parent
Master_Suite_API,/master-settings-api/api/v1,POST,/Emr/ChiefComplaints/ById
Master_Suite_API,/master-settings-api/api/v1,GET,/Emr/ChiefComplaints/List
Master_Suite_API,/master-settings-api/api/v1,POST,/Emr/ChiefComplaints/Save
Master_Suite_API,/master-settings-api/api/v1,GET,/Emr/ChiefComplaintsICDs/List
Master_Suite_API,/master-settings-api/api/v1,GET,/Emr/ChiefComplaintsTemplates/List
Master_Suite_API,/master-settings-api/api/v1,POST,/Emr/EmrDepartmentTemplateMapping/List
Master_Suite_API,/master-settings-api/api/v1,POST,/Emr/EmrLookupType
Master_Suite_API,/master-settings-api/api/v1,GET,/Emr/EmrProviderTemplate/List
Master_Suite_API,/master-settings-api/api/v1,POST,/Emr/EmrProviderTemplateMapping/List
Master_Suite_API,/master-settings-api/api/v1,POST,/Emr/EmrTemplateMapping/BulkList
Master_Suite_API,/master-settings-api/api/v1,POST,/Emr/EmrTemplateMapping/BulkSave
Master_Suite_API,/master-settings-api/api/v1,POST,/Emr/EmrTemplateMapping/Default
Master_Suite_API,/master-settings-api/api/v1,GET,/Emr/EmrTemplateMapping/DefaultLoad
Master_Suite_API,/master-settings-api/api/v1,POST,/Emr/EmrTemplateMapping/Delete
Master_Suite_API,/master-settings-api/api/v1,POST,/Emr/EmrTemplateMapping/Save
Master_Suite_API,/master-settings-api/api/v1,POST,/Emr/EmrTemplateMapping/Validation
Master_Suite_API,/master-settings-api/api/v1,GET,/Emr/FetchAllClinicalService?ServiceName={p}&HospitalId={p}
Master_Suite_API,/master-settings-api/api/v1,GET,/Emr/FetchAllDiagnosisNotifyIcd
Master_Suite_API,/master-settings-api/api/v1,GET,/Emr/FetchBundleServiceDetails?EmrMastScrId={p}
